FID,OBJECTID,FID_,biosum_plo,statecd,invyr,unitcd,countycd,plot,measyear,measmon,measday,elev,fvs_varian,half_state,subplot_co,gis_yard_d,gis_protec,gis_roadle,all_cond_n,plot_acces,num_cond,one_cond_y,lat,lon,macro_brea,merch_haul,merch_ha_1,merch_ha_2,chip_haul_,chip_hau_1,chip_hau_2,biosum_sta,gis_status,idb_plot_i,cn,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
10,11,10,120050605051000010000000.000000000000000,6,2005,2,105,53163,2005,12,31,2500,CA,CA, , ,N,N,N,Y,2,N,41.000000000000000,-123.260000000000010,24, , , , , , ,1,1, ,8984418010900.000000000000000,313304,5353.922283480000300,-279315.599400000010000,334143.890699999990000
11,12,11,120050605051000010000000.000000000000000,6,2005,2,105,78872,2005,9,27,5100,CA,CAMIX, , ,N,N,N,Y,1,Y,40.979999999999997,-123.120000000000000,24, , , , , , ,1,1, ,8974711010900.000000000000000,1533274,6395.410359540000200,-265749.445899999990000,327996.203199999990000
12,13,12,120050605051000010000000.000000000000000,6,2005,2,105,91839,2005,10,5,6700,CA,CA, , ,N,N,N,Y,1,Y,41.170000000000002,-122.810000000000000,24, , , , , , ,1,1, ,8975161010900.000000000000000,314474,5207.722149039999700,-236858.783000000000000,348735.764399999990000
13,14,13,120050605051000010000000.000000000000000,6,2005,5,107,58065,2005,7,20,1500,CA,CA, , ,N,N,N,Y,1,Y,36.240000000000002,-118.900000000000010,24, , , , , , ,1,1, ,13113821010500.000000000000000,498835,59.173752825199998,98680.367576699995000,-196897.601174000010000
14,15,14,120060601061000000000000.000000000000000,6,2006,2,93,74936,2006,10,12,5300,CA,CAMIX, , ,N,N,N,Y,1,Y,41.960000000000001,-123.060000000000000,24, , , , , , ,1,1, ,41117655010500.000000000000000,1581895,1631.375457550000000,-254369.588699999990000,440484.186800000020000
15,16,15,120060605060000000000000.000000000000000,6,2006,3,7,95186,2006,9,27,2100,WS,CAMIX, , ,N,N,N,Y,1,Y,39.729999999999997,-121.500000000000000,24, , , , , , ,1,1, ,8935500010900.000000000000000,157958,30.440404130299999,-128528.821300000000000,191470.759100000000000
16,17,16,120060605060000000000000.000000000000000,6,2006,1,15,60483,2006,9,9,4900,NC,CA, , ,N,N,N,Y,1,Y,41.649999999999999,-123.690000000000000,24, , , , , , ,1,1, ,8938285010900.000000000000000,1586606,6341.036816339999900,-302204.042399999980000,412687.293500000030000
17,18,17,120060605060000000000000.000000000000000,6,2006,1,15,74641,2006,7,21,300,NC,CA, , ,N,N,N,Y,3,N,41.780000000000001,-124.060000000000000,24, , , , , , ,1,1, ,8938601010900.000000000000000,269813,343.023797148000030,-338307.615800000030000,425208.400299999980000
18,19,18,120060605060000000000000.000000000000000,6,2006,5,19,52325,2006,10,25,5500,WS,CA, , ,N,N,N,Y,2,N,36.789999999999999,-118.780000000000000,24, , , , , , ,1,1, ,8887935010900.000000000000000,2000772,1925.971132510000000,108353.676300000010000,-133733.586600000010000
19,20,19,120060605060000000000000.000000000000000,6,2006,5,19,77298,2006,9,27,7900,WS,CA, , ,N,N,N,Y,3,N,36.840000000000003,-118.650000000000010,24, , , , , , ,1,1, ,8888325010900.000000000000000,1322188,5498.213537710000300,116967.686000000000000,-134340.633000000000000
