"biosum_plot_id","statecd","invyr","unitcd","countycd","plot","measyear","measmon","measday","elev","fvs_variant","half_state","subplot_count_plot","gis_yard_dist","gis_protected_area_yn","gis_roadless_yn","all_cond_not_accessible_yn","plot_accessible_yn","num_cond","one_cond_yn","lat","lon","macro_breakpoint_dia","merch_haul_cost_id","merch_haul_cost_psite","merch_haul_cpa_pt","chip_haul_cost_id","chip_haul_cost_psite","chip_haul_cpa_pt","biosum_status_cd","gis_status_id","idb_plot_id","cn"
"120070605070070053578000",6,2007,3,7,53578,2007,5,16,5500,"WS","CA        ",NA,2709,"N","N","Y","N","1","Y",40.014447,-121.491619,24,2311,3,9.453009375,9872,82,9.79125625,"1",1,NA,"22953434010497                    "
"120070605070070055719000",6,2007,3,7,55719,2007,4,24,900,"CA","CA        ",NA,1398,"N","N","N","Y","1","Y",39.529153,-121.438665,24,5068,82,2.11193736979167,8578,82,2.11193736979167,"1",1,NA,"22953371010497                    "
"120070605070070058831000",6,2007,3,7,58831,2007,4,16,3900,"WS","CAMIX     ",NA,291,"N","N","N","Y","1","Y",39.85891,-121.473158,24,5006,82,6.2743859375,8820,82,6.2743859375,"1",1,NA,"22953390010497                    "
"120070605070070060452000",6,2007,3,7,60452,2007,10,4,2100,"CA","CA        ",NA,1207,"N","N","N","Y","1","Y",39.9227,-121.673087,24,4994,82,7.55494114583333,8784,82,7.55494114583333,"1",1,NA,"22953401010497                    "
"120070605070070062970000",6,2007,3,7,62970,2007,4,18,3100,"CA","CAMIX     ",NA,796,"N","N","N","Y","1","Y",39.981189,-121.659718,24,2316,3,7.83525052083333,9881,82,8.5820203125,"1",1,NA,"22953428010497                    "
"120070605070070079676000",6,2007,3,7,79676,2007,5,1,3500,"WS","CAMIX     ",NA,353,"N","N","N","Y","1","Y",39.572363,-121.13262,24,5060,82,7.05428802083333,8553,82,7.05428802083333,"1",1,NA,"22953247010497                    "
"120070605070070090696000",6,2007,3,7,90696,2007,4,30,500,"CA","CA        ",NA,2588,"N","N","Y","N","1","Y",39.359745,-121.413928,24,5088,82,3.65979088541667,9925,82,3.65979088541667,"1",1,NA,"22952990010497                    "
"120070605070070091490000",6,2007,3,7,91490,2007,4,20,2300,"CA","CA        ",NA,485,"N","N","N","Y","2","N",39.82125,-121.621317,24,5013,82,5.5901421875,8846,82,5.5901421875,"1",1,NA,"22953383010497                    "
"120070605070070093475000",6,2007,3,7,93475,2007,4,26,100,"CA","CA        ",NA,1300,"N","N","N","Y","2","N",39.490984,-121.597412,24,5075,82,0.7872453125,8597,82,0.7872453125,"1",1,NA,"22953367010497                    "
"120070605070070096460000",6,2007,3,7,96460,2007,9,26,2300,"WS","CAMIX     ",NA,3908,"N","N","Y","N","1","Y",39.657382,-121.282933,24,5046,82,10.050578125,8170,82,10.050578125,"1",1,NA,"22953258010497                    "
"120070605070070098818000",6,2007,3,7,98818,2007,10,1,1700,"WS","CAMIX     ",NA,1602,"N","N","N","Y","1","Y",39.687046,-121.462598,24,5039,82,4.96095,8159,82,4.96095,"1",1,NA,"22953372010497                    "
"120070605070090051342000",6,2007,5,9,51342,2007,5,19,1100,"CA","CA        ",NA,693,"N","N","N","Y","1","Y",38.094646,-120.663835,24,3365,52,5.5391421875,6372,16,5.69838072916667,"1",1,NA,"22953208010497                    "
"120070605070090051992000",6,2007,5,9,51992,2007,8,13,7300,"WS","CA        ",NA,1394,"N","N","N","Y","1","Y",38.484068,-120.095327,24,3045,54,12.4260010416667,9405,54,12.4260010416667,"1",1,NA,"22953065010497                    "
"120070605070090053939000",6,2007,5,9,53939,2007,5,22,900,"CA","CA        ",NA,2078,"N","N","Y","N","1","Y",38.075706,-120.820886,24,4427,80,5.40648020833333,6373,16,8.8289125,"1",1,NA,"22953198010497                    "
"120070605070090076755000",6,2007,5,9,76755,2007,5,21,700,"CA","CA        ",NA,100,"N","N","N","Y","3","N",38.214644,-120.839201,24,4414,80,2.32148541666667,9546,54,8.85276875,"1",1,NA,"22953218010497                    "
"120070605070090076890000",6,2007,5,9,76890,2007,8,15,5700,"CA","CAMIX     ",NA,912,"N","N","N","Y","2","N",37.906642,-120.594664,24,3405,52,2.48117994791667,6654,16,2.64041901041667,"1",1,NA,"22953063010497                    "
"120070605070090087970000",6,2007,5,9,87970,2007,5,17,2300,"WS","CA        ",NA,640,"N","N","N","Y","2","N",38.229158,-120.543441,24,4413,80,6.393565625,9539,54,7.2248625,"1",1,NA,"22953222010497                    "
"120070605070110098640000",6,2007,3,11,98640,2007,9,27,3500,"CA","CA        ",NA,1346,"N","N","N","Y","2","N",39.271049,-122.628748,24,995,24,11.4166635416667,10000,83,17.7655083333333,"1",1,NA,"22953349010497                    "
"120070605070130084304000",6,2007,4,13,84304,2007,10,9,300,"CA","CA        ",NA,100,"N","N","N","Y","2","N",37.990533,-122.196569,24,1707,26,14.4268864583333,10289,83,9.75962291666667,"1",1,NA,"22953190010497                    "
"120070605070150056242000",6,2007,1,15,56242,2007,10,10,1900,"NC","CA        ",NA,536,"N","N","N","Y","1","Y",41.612886,-123.956017,24,3705,57,13.3896135416667,9763,78,10.303915625,"1",1,NA,"22953622010497                    "
"120070605070150057291000",6,2007,1,15,57291,2007,10,20,4100,"NC","CA        ",NA,1313,"N","N","N","Y","2","N",41.462407,-123.623422,24,3744,57,16.94776875,7265,17,16.4783041666667,"1",1,NA,"22953644010497                    "
"120070605070150071326000",6,2007,1,15,71326,2007,10,3,1500,"NC","CA        ",NA,575,"N","N","N","Y","1","Y",41.729726,-124.002331,24,3687,57,15.69155,9745,78,8.00193958333333,"1",1,NA,"22953663010497                    "
"120070605070150081704000",6,2007,1,15,81704,2007,7,12,2700,"CA","CA        ",NA,451,"N","N","N","Y","1","Y",41.953536,-123.700949,24,2358,31,19.6125895833333,9680,78,9.204909375,"1",1,NA,"22953693010497                    "
"120070605070150083391000",6,2007,1,15,83391,2007,7,13,2300,"NC","CA        ",NA,537,"N","N","N","Y","1","Y",41.888406,-123.867517,24,3656,57,18.9666270833333,9702,78,7.96933333333333,"1",1,NA,"22953680010497                    "
"120070605070150087311000",6,2007,1,15,87311,2007,7,9,1900,"NC","CAMIX     ",NA,1575,"N","N","N","Y","1","Y",41.892643,-124.008333,24,3654,57,17.9387354166667,9700,78,5.1136484375,"1",1,NA,"22953685010497                    "
"120070605070150092048000",6,2007,1,15,92048,2007,7,10,2300,"NC","CA        ",NA,1365,"N","N","N","Y","3","N",41.736275,-123.861067,24,3686,57,18.9667541666667,9744,78,10.0920208333333,"1",1,NA,"22953664010497                    "
"120070605070150098169000",6,2007,1,15,98169,2007,7,11,4300,"NC","CAMIX     ",NA,1441,"N","N","N","Y","1","Y",41.58905,-123.799433,24,3712,57,17.2237697916667,9768,78,12.638025,"1",1,NA,"22953652010497                    "
"120070605070170050453000",6,2007,3,17,50453,2007,6,27,6100,"WS","CA        ",NA,3781,"N","N","N","Y","2","N",38.797972,-120.132069,24,4250,80,13.452125,8734,51,14.0584479166667,"1",1,NA,"22953303010497                    "
"120070605070170054692000",6,2007,3,17,54692,2007,7,5,5900,"WS","CA        ",NA,251,"N","N","N","Y","2","N",38.939386,-120.435112,24,3224,51,11.7259614583333,8673,51,11.7259614583333,"1",1,NA,"22953318010497                    "
"120070605070170055516000",6,2007,3,17,55516,2007,10,23,4500,"WS","CAMIX     ",NA,726,"N","N","N","Y","1","Y",38.554009,-120.420481,24,4349,80,8.15288072916667,9378,54,13.47176875,"1",1,NA,"22953069010497                    "
"120070605070170057993000",6,2007,3,17,57993,2007,6,28,6300,"WS","CAMIX     ",NA,5347,"N","N","Y","N","1","Y",38.906736,-120.302104,24,4224,80,14.341365625,8680,51,14.622925,"1",1,NA,"22953319010497                    "
"120070605070170061249000",6,2007,3,17,61249,2007,5,8,1900,"CA","CAMIX     ",NA,351,"N","N","N","Y","1","Y",38.895624,-120.887382,24,3322,51,5.7508953125,8689,51,5.7508953125,"1",1,NA,"22953309010497                    "
"120070605070170062058000",6,2007,3,17,62058,2007,6,26,6900,"WS","CA        ",NA,100,"N","N","N","Y","1","Y",38.606899,-120.241285,24,4328,80,10.2664895833333,9003,51,15.478346875,"1",1,NA,"22953266010497                    "
"120070605070170067992000",6,2007,3,17,67992,2007,5,29,3900,"WS","CAMIX     ",NA,100,"N","N","N","Y","1","Y",38.73167,-120.57547,24,4275,80,9.24918958333333,8954,51,10.2151302083333,"1",1,NA,"22953279010497                    "
"120070605070170068162000",6,2007,3,17,68162,2007,9,6,1300,"CA","CA        ",NA,144,"N","N","N","Y","1","Y",38.723922,-120.889796,24,4276,80,7.31136354166667,8955,51,7.7794078125,"1",1,NA,"22953278010497                    "
"120070605070170068273000",6,2007,3,17,68273,2007,9,5,700,"CA","CA        ",NA,507,"N","N","N","Y","2","N",38.594398,-121.005439,24,4334,80,6.11382083333333,9009,51,6.89716614583333,"1",1,NA,"22952988010497                    "
"120070605070170071824000",6,2007,3,17,71824,2007,7,3,4300,"WS","CA        ",NA,100,"N","N","N","Y","1","Y",38.900756,-120.617217,24,3320,51,9.42383854166667,8687,51,9.42383854166667,"1",1,NA,"22953315010497                    "
"120070605070170072729000",6,2007,3,17,72729,2007,6,29,5300,"WS","CAMIX     ",NA,100,"N","N","N","Y","2","N",38.754007,-120.296352,24,4269,80,12.2706104166667,8949,51,12.8769333333333,"1",1,NA,"22953298010497                    "
